그룹,소스,텍스트,좋아요,작성시간
코스피 5000,뉴스,"‘트럼프 리스크’에 ‘5000피’ 앞두고 숨고르는 코스피···금·은은 동반 ‘역대 최고가’ - 경향신문 &lt;a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE9fN2xlWHVBRV9haHZocVZWbVRTWVUteXlWdThJb09hOHlJVHgxNS00VnhDdll4RGlvcVV3NEM4bnJVMmRPbWFpUmNSQ3d5TU5RejlyM0prQVNtd9IBX0FVX3lxTE9CU0pMZ0huV3ZJSHc2T3FQSGRUR1dfY3FYelhXX1YwVlprNlNYS3luV0QxdTB3VWlYZnVENFZHaUxQTEgtMDFGYlIzc0dZcDV1cFVZbS1GUzl1T1NYT2ZB?oc=5"" target=""_blank""&gt;‘트럼프 리스크’에 ‘5000피’ 앞두고 숨고르는 코스피···금·은은 동반 ‘역대 최고가’&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;경향신문&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"[기획] ‘속 빈 강정’ 코스피 5000의 허상 - 매일일보 &lt;a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE03dEk5bTRnWHpfTHRSSVV2LTlFR2lJU0dLZFdReXE5Tno2UkRJaG91b0s5SF9nd0dMaEhxUTJIVFlObmtVenpxQVFLQ1NuOFhETjNEYlRfejVSSVl2a2o1cFhoMzU?oc=5"" target=""_blank""&gt;[기획] ‘속 빈 강정’ 코스피 5000의 허상&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;매일일보&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"'겉만 번지르르'…코스피 5000, 속빈 강정되나 - 데일리안 &lt;a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNdHVRV1JUUkdPX2NLOGYwYmY1WkZNRTJzeThNNEpQOFZUZnZuQ2I3b3BKWVRPMlJHY2RGS2xaMEJtY0w4V0kyTmQyMGFZZVlubVZQV05LaEI5U2RiLVhNXzZMRTBHT0hFSTJJS2o1eWtqS25YM3NRY2NaRHBwOU9lU0MzbmxjNFVrSUUzVEtHeGExd09hUEZJZTJ2Z3R1OEM0aUZHMlBfblhVbGdsVGNQXzF3a0FpN3UwQUpmeXNKdG5qMWgzakxPQzM2VEpHVW9tdDFubnQ0bjFMcjJwMHRsT2kzWjgyaVhQUlNlTTBlV3E0eGVfRUdvc9IB-wFBVV95cUxNX19LMjd0eXN0S0s2WVhaaFlHSURGOWlkcU1NSUItbjJUenNNSUJQdUxCRmhjTGp1Z0pYSEw4dkcxUjNoanAyYXA2eUlUWTZvS3loWG95VWZTZjB5V3MwTGpVUnZLaEI4Sko1ZEdiX2EwbWoyZHp3dDRWcnRHc3pEcVliQkVXbDhlVU1zT1lndjg1TWRNX08wMm4zZkxlYTdDa0pGOGZUTFEzN0M0ZlhYLTM4RGFISk9sMFZXd05uNzZEOUE2anF6QnRseW55U2pidGdDN3Nsc3pISUFxSFhYLUFEcXZQWnNrQUxyVk1yeEZxS1ROVWM5dGM2SQ?oc=5"" target=""_blank""&gt;'겉만 번지르르'…코스피 5000, 속빈 강정되나&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;데일리안&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피, 5000선 앞두고 ‘뒷걸음’…삼성전자 3% 가까이 하락 - 부산일보 &lt;a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE9rQ0N4SWtRU1FWRGg2d1F1N0h0SFdzSjVKWmZTRnZJVTJ2cHdzVkFRdUN4VHFNTS1FaXJRZC1UczRKalVOd29YSmIwNTVROWlOLTFRZi11UkNsZGN0d0lEenVqNzJxcnJ4Ql94djRPVGU5UHU0R0c4Mg?oc=5"" target=""_blank""&gt;코스피, 5000선 앞두고 ‘뒷걸음’…삼성전자 3% 가까이 하락&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;부산일보&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"[속보] 코스피 5000선 첫 돌파…'꿈의 지수' 오천피 시대 열렸다 - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE43b29mbVR3Ylg3eGp1N09RTll2V1hONHdROEVVaDZWcGtkRUZLMTBheDU5UXpOa1NSS0dBNkRaMWtpUmFjUWNDMWZLR1BWRUNZelFHaS13?oc=5"" target=""_blank""&gt;[속보] 코스피 5000선 첫 돌파…'꿈의 지수' 오천피 시대 열렸다&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"李대통령, 코스피 5,000 육박에 ""주식시장 정상화 과정"" - 연합인포맥스 &lt;a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFA3dFJjekZGREhZRXNLTzkxaG5TRVY4TmphUDJHRGw2TzZPSG9xSV9sWnFlR1BQX2dNRm5iWVYtZ0hGZS1KbXl0TklnSkZxcE9EOUhEMFRlS2pzcWtCbVQyd1A3amNZVF8tWlNORnJzVVQ?oc=5"" target=""_blank""&gt;李대통령, 코스피 5,000 육박에 ""주식시장 정상화 과정""&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;연합인포맥스&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 목전에, '로봇'만 스쳐도 불기둥…증시에 먼저온 로봇시대 - v.daum.net &lt;a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE5zX0ladDlxcHdFenFxM3hDcGNnQkpnbnpZc29sa0NHODRwT1pzXzR1VW50eUttTVZ4bGRPV0dKWVVJSEhKcURBMUxYY2ViVEk?oc=5"" target=""_blank""&gt;코스피 5000 목전에, '로봇'만 스쳐도 불기둥…증시에 먼저온 로봇시대&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;v.daum.net&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 돌파 환호하는 민주당 “오천피 꿈, 이루어진다” - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE5xRjNIRUpuTXlwOWl3WFdNQzl0RzV3SGs0X0M1WHRURWFQNWp5SWEtZnNrMHVtRWNhUEtXbXo5Wkd6OXBUOWZDaUZqUEhDQUZXWkZHX05n?oc=5"" target=""_blank""&gt;코스피 5000 돌파 환호하는 민주당 “오천피 꿈, 이루어진다”&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"‘꿈의 5000피’ 코스피 개장과 동시에 5000 돌파…장중 도로 4900대로 - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE95M3NTUVRGbngteU11T29DU0gyb29PRVJneUQzb3Q4Nl9DN01FRUJSUTFPaEFFZkpTdnVveTZybUgyQmgtTXAzWW1BdU9oZjg4cDFXQkd3?oc=5"" target=""_blank""&gt;‘꿈의 5000피’ 코스피 개장과 동시에 5000 돌파…장중 도로 4900대로&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 눈앞인데 네이버·카카오는 뒷걸음…‘국가 대표 IT’의 긴 부진 - 조선일보 &lt;a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxOZFJHX2JQNFRIUkpNaTExanF0UWFOY19oc2R2bjYwVGZ6V1BUUGxiSVNaSXNxUUtfczJWVU1uQlh6c0VYZ0JVcmo5TzhfbUdzRWhCSUpaakRreV9tdWJZZUlZRThybzdoNlFrc2xSZlYtUmpvOGcwTlNoci14MlAzUg?oc=5"" target=""_blank""&gt;코스피 5000 눈앞인데 네이버·카카오는 뒷걸음…‘국가 대표 IT’의 긴 부진&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;조선일보&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"꿈의 오천피 뚫은 코스피…李대통령 'ETF 수익률' 잭팟 터졌다 - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE5FUVhoRzAtOXBjTE1FT0g4Nk9YMm9VNTY0QTNzLTRaNndUY0lEYnZFY1d5RTh5VkRlUXpoQllnazhvVVhEQ0dKSXhDQlgzZjJVSHloZHZR?oc=5"" target=""_blank""&gt;꿈의 오천피 뚫은 코스피…李대통령 'ETF 수익률' 잭팟 터졌다&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"자사주 소각 의무화 임박…’코스피5000’ 탄력 받나 - 주주경제신문 &lt;a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE9IOUVVbi1KcXdQNmJkSGJHb0toLU1fRTNBbW5Qek1PcF84dThqS3lmdkZsX1JfZFpMcVBLNWVmcE9CZDVFbVYtQk5DNUhVcGFsRHJuVC1DMnd6OHl6bEJNUFoyUWZoU0RP?oc=5"" target=""_blank""&gt;자사주 소각 의무화 임박…’코스피5000’ 탄력 받나&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;주주경제신문&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000, 이제 2% 남았다…‘로봇·반도체’가 랠리 주도 - 스트레이트뉴스 &lt;a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE5XWVpzSS1JR3lweC14SkpuMDRfQ19oeGp0YUpCU094NEdSSTc1cHU1X0dZSUttaFluVTZXNE9HVlpyQURjM05QZmpTdE5Hd1lydTJ2Vk1nSUUzNXZRUGFadDZ4MGN2cjJScHR1QnVOTUlLV2_SAXdBVV95cUxOdG9kd21NbUZ2YWF4OExsNHNMeW1Da011S19jLWdzUWFoenVNcS1OZVJDVDluZjgxQ2w4TVhxNTJoN3FMQjhBeWRLQjF5enFVWkh4dVJwU1hZejB6UVdhUVgtT0pwRVRxNkNBZktTY3ZNM01heThDbw?oc=5"" target=""_blank""&gt;코스피 5000, 이제 2% 남았다…‘로봇·반도체’가 랠리 주도&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;스트레이트뉴스&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000시대 성큼…3차 상법 개정안 통과 기대 - MTN 머니투데이방송 &lt;a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTFBSWXJiQUN1SThydlFIRXY5b1dOWWhxOWY3SEJFTFdRUDJiNW5manNQOHhwaVlpSjVqTTZVZm5Bb01Majl4a1Z6QlFieW1aenBNTnNPajJqVVl1S0VfM3lNRVR1c2NaWkYxTkp2Yi1VM1UxS2s?oc=5"" target=""_blank""&gt;코스피 5000시대 성큼…3차 상법 개정안 통과 기대&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;MTN 머니투데이방송&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"진짜 '5000고지'가 눈앞…李대통령, 與'코스피 5000 특위' 초청 - 머니투데이 - 머니투데이 &lt;a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE94ZE15MnBLM3V4aTB6cGhuWGtIT3FQRlZoWU53RXZycXVNQTdOcGlhT0RWeS0waHp4LWxEc0I2ZV96N1NQYTROMVEwcnNwSzlQNkRsYS1mUnN1a0dYS1FCWGVOVkVYMlFMTTVsTtIBckFVX3lxTE5ZUXE1WU5SSkZPekdqQ2ZJMmxmQjFFOWU2VUdlb2plLTV4X0RYc0Vad1E1cGtFVnZ6bzNHN01kN1ktMzhUQmJVT05Mamptd3ZQcDdwUEI3dnJzVmJ4eWNYNDhtVjRMTmZaLVZEZm94MTREdw?oc=5"" target=""_blank""&gt;진짜 '5000고지'가 눈앞…李대통령, 與'코스피 5000 특위' 초청 - 머니투데이&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;머니투데이&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 앞두고 커진 경계심… 쏠림 공포에 하락 베팅 3000억 몰렸다 - 조선비즈 - Chosunbiz &lt;a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxPV3dPcWNYd19vbkV4S1ZZT1VjUDFoR1M5ZnhiUUlmcVZqcVNER2RvUjJLOUl0aHFqNGlZVjVjVl83dHVQNGxGdVZhOFM5RGJpMU5JUHQzRmJtUjh3Y0xDZ05qNXZtTFhydnVuTzU3UnV1MEdCNVBKNXNVUXF3UTU0cFhsOUhEU1p00gGcAUFVX3lxTFBNTEF5QlVnM3RRSE5OVThKb1NfTlR5SHVUZFJvUU1qRHNDSFJDNXVkV0hqRlR3cHdLeGZlaWhGS3VueTRPeEc4U2pJdGoyeU1jWEZacHF2TXNmLTRLOUh3eU5TeF9WUkt1RnA3SkhXQzhkWXpHWWd3QXgtY3JlWmNGWGdMRXhuZVZEdmgxRlc1U2JxWF9sMV91ZE1xUg?oc=5"" target=""_blank""&gt;코스피 5000 앞두고 커진 경계심… 쏠림 공포에 하락 베팅 3000억 몰렸다 - 조선비즈&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;Chosunbiz&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 눈앞에…이재명 대통령 ""저평가된 시장, 정상화 과정 중"" - 프라임경제 &lt;a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTFBWN2ZwdVNpb1Y3dThpd1JTbFZfdzdtTFNaOXZvTDl1a2J1aUdsOUwya3NyWFJPWmt0aW53eThXdWN0Mnp3UVZwNjVTMTZhd3VFRXdzZk1KU25LTEFCZ2pGRDc3Q0VaQQ?oc=5"" target=""_blank""&gt;코스피 5000 눈앞에…이재명 대통령 ""저평가된 시장, 정상화 과정 중""&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;프라임경제&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 코앞인데…'그린란드 관세' 여파로 출렁일까 [오늘장 미리보기] - 한국경제 &lt;a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE15NWFUZ1ZIY0o0RXFrMFpnckE2bHlfLVM5N3NGX3U4NWJSM2M2Sl9ZdFkzTzYzM19mMDZibmNXZGlvNVpzN3I1eGlEZVRJcmZCSnl1MWQ4RUJ1UdIBVEFVX3lxTFAybmdpd1JPc2tPN09VWkRwNEN1WFd5VXNZZ016YXJwOGNFT2RpZW9QbzJBZHR3Ukt2THI1SlQxX3c1QmticVFCcmktQUFsSUd6ODdvXw?oc=5"" target=""_blank""&gt;코스피 5000 코앞인데…'그린란드 관세' 여파로 출렁일까 [오늘장 미리보기]&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;한국경제&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"[포토타임] 코스피, 사상 처음 5000선 넘었다 - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTFAzejRnS25iLS1pTEY4eUZTdHFzX0Q5N2RBWnJNdVRfd3R4Y0pWdXNldEFFZUFUYVdxMGdmM0N2RzJ2RFBTUUNBRjBYR1JPLVhLbzN0ckJR?oc=5"" target=""_blank""&gt;[포토타임] 코스피, 사상 처음 5000선 넘었다&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피, 5000 코앞인데 '내린 종목 더 많아'...가장 저평가된 업종은? - 오피니언뉴스 &lt;a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE8tQU90a0ZSV1ZnemhhUUJCOU85LTNPNkZlRGN6MmxWdnI3X2xoNVUxS2JzbV9HbmxNUlNnUDgtaUxqV0FNanlqNkV1cGdZRnpfallKdjUtejg5YVBXelhFMkxkN0o1R29rUEFFMklWcmQ5UQ?oc=5"" target=""_blank""&gt;코스피, 5000 코앞인데 '내린 종목 더 많아'...가장 저평가된 업종은?&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;오피니언뉴스&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 목전, 주도 업종 장기 투자가 유리하다 - 한겨레 &lt;a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE9tTEdfZF9mUkdTZUNwNEwtcnNkQXkxWUJySEdaUzB0eEhoS24yUkptSnNMOVNQWUFLUkpXNE9QRkp1OHA5a05aUG5NeVFIMnZlYndGUlhaRVBPR1pxdG4tT3hjUFRORXlsRi1ZRUxWajhvdw?oc=5"" target=""_blank""&gt;코스피 5000 목전, 주도 업종 장기 투자가 유리하다&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;한겨레&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"오늘 '코스피 5000' 돌파 가능성 촉각…증권가 ""감내 가능"" - 한국경제 &lt;a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTFBaeW11TUE4SVJ4eE1qTjY4ZHlFTE5RVGp3UlNWUktfbU4xNzgzVWU4QWR5a1ktZW5FZzZTM2VxcEtqN1RkLTVXRkIyTi1MN0RpTlliVVZPZ2NVUdIBVEFVX3lxTE5RSWRIaUtPdXNreGZESXM1ZGt5OVpldWhGMGVkMXpXNnB4bXlhcjkxX1RZZl9Ma3hucVZVcDNMd3FaNWUtNjlic1dNbFN4Q0MzWWt1bw?oc=5"" target=""_blank""&gt;오늘 '코스피 5000' 돌파 가능성 촉각…증권가 ""감내 가능""&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;한국경제&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 앞두고 곱버스 올라탄 개미들, 5600억 역베팅[불장속 방어 나선 청개구리 개미 ②] - v.daum.net &lt;a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTFBhLUhKY1R3aGQzWlNQYzVNTEVCTm0zOHc3MU9KdWV4ZGNZeTNhTEFGTlpockRibzNSUU1rekhQYUJnb3JsZWliOXJweHZ1MU93eEhlRw?oc=5"" target=""_blank""&gt;코스피 5000 앞두고 곱버스 올라탄 개미들, 5600억 역베팅[불장속 방어 나선 청개구리 개미 ②]&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;v.daum.net&lt;/font&gt;",,"Wed, 21 Jan 2026 08:00:00 GMT"
